user,wine,Rank,Appearance,Aroma,Body,Taste,Finish,Price
John C.,WineA,6,4,3,3,2,2,15
John C.,WineB,2,4,4,4,3,3,20
John C.,WineC,5,3,4,3,3,4,20
John C.,WineD,1,4,4,4,4,5,25
John C.,WineE,3,3,4,3,4,4,15
John C.,WineF,4,4,4,3,4,3,15
Jeff,WineA,3,4,2,3,3,2,24
Jeff,WineB,2,2,3,4,4,4,25
Jeff,WineC,5,4,2,2,2,2,13
Jeff,WineD,6,4,1,2,1,2,8
Jeff,WineE,4,3,2,4,2,2,18
Jeff,WineF,1,2,3,4,4,4,25
Jesse H. ,WineA,5,2,3,2,4,2,17
Jesse H. ,WineB,3,3,4,4,3,4,20
Jesse H. ,WineC,2,4,4,5,3,3,15
Jesse H. ,WineD,6,4,2,3,3,3,10
Jesse H. ,WineE,4,1,5,5,4,3,13
Jesse H. ,WineF,1,5,3,4,4,5,20
Kathryn,WineA,4,3,4,1,2,3,15
Kathryn,WineB,3,2,4,3,2,4,60
Kathryn,WineC,6,1,1,2,2,2,10
Kathryn,WineD,1,5,4,4,4,4,30
Kathryn,WineE,5,3,2,2,3,3,25
Kathryn,WineF,2,3,4,3,4,4,40
Nayad,WineA,1,3,4,2,5,4,19
Nayad,WineB,2,2,4,3,4,4,22
Nayad,WineC,4,4,3,2,2,2,22
Nayad,WineD,3,4,3,3,3,2,12
Nayad,WineE,6,3,1,2,2,1,20
Nayad,WineF,5,2,3,2,2,2,20
Emily ,WineA,2,3,4,4,3,4,18
Emily ,WineB,1,4,5,4,4,5,23
Emily ,WineC,4,2,1,2,2,3,11
Emily ,WineD,3,5,3,3,2,2,14
Emily ,WineE,6,3,1,1,2,2,17
Emily ,WineF,5,1,2,3,2,2,20
Rebekah,WineA,3,4,4,2,4,4,20
Rebekah,WineB,1,3,3,3,4,3,30
Rebekah,WineC,4,3,3,3,3,4,10
Rebekah,WineD,5,4,3,3,3,4,15
Rebekah,WineE,6,3,2,1,2,3,20
Rebekah,WineF,2,2,3,4,4,3,12
Nick,WineA,4,4,4,3,4,3,25
Nick,WineB,2,5,2,3,3,3,25
Nick,WineC,3,1,1,1,1,1,25
Nick,WineD,5,4,2,5,3,5,25
Nick,WineE,6,4,4,3,3,3,25
Nick,WineF,1,3,3,3,3,3,25
